gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,16,512,7168,asm,6,7,7.9691,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,14.74,476.98,0.0029
gfx950,256,32,512,7168,asm,22,7,9.1625,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,25.64,429.16,0.0033
gfx950,256,64,512,7168,asm,15,8,8.5433,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,54.99,490.95,0.0078
gfx950,256,128,512,7168,asm,23,8,9.7489,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,96.37,484.01,0.0139
gfx950,256,256,512,7168,asm,6,7,9.7151,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,193.42,593.63,0.0036
gfx950,256,512,512,7168,asm,23,8,11.511,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,326.48,683.2,0.009
gfx950,256,1024,512,7168,asm,27,4,15.6429,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,480.49,770.87,0.0012
gfx950,256,1536,512,7168,asm,35,4,18.8821,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,597.09,860.76,0.0022
gfx950,256,2048,512,7168,ck,17,3,21.5224,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,698.45,950.04,0.0
gfx950,256,4096,512,7168,asm,16,1,32.8452,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,915.35,1133.33,0.0
gfx950,256,8192,512,7168,asm,40,1,47.2238,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,1273.29,1498.8,0.0
gfx950,256,16384,512,7168,ck,13,2,81.4869,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1475.81,1692.15,0.0
gfx950,256,20480,512,7168,ck,13,2,111.424,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1349.12,1538.65,0.0
gfx950,256,16,576,7168,ck,7,0,17.6513,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,7.49,241.45,0.0
gfx950,256,32,576,7168,ck,7,3,17.088,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,15.46,257.2,0.0
gfx950,256,64,576,7168,ck,7,2,17.5138,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,30.18,266.15,0.0
gfx950,256,128,576,7168,ck,7,3,16.4658,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,64.19,315.43,0.0
gfx950,256,256,576,7168,ck,7,2,16.9154,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,124.97,370.0,0.0
gfx950,256,512,576,7168,ck,12,3,18.0012,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,234.87,466.0,0.0
gfx950,256,1024,576,7168,ck,17,3,20.7538,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,407.43,609.45,0.0
gfx950,256,1536,576,7168,ck,17,2,21.2038,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,598.17,797.42,0.0
gfx950,256,2048,576,7168,ck,12,3,31.2412,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,541.32,677.57,0.0
gfx950,256,4096,576,7168,ck,15,0,43.7737,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,772.68,872.84,0.004
gfx950,256,8192,576,7168,ck,15,1,75.2384,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,899.09,960.76,0.0074
gfx950,256,16384,576,7168,ck,15,0,135.1229,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1001.25,1039.38,0.0088
gfx950,256,20480,576,7168,ck,15,2,164.23,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1029.74,1062.67,0.0089
gfx950,256,16,1536,7168,asm,15,8,8.9852,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,39.21,1243.59,0.0081
gfx950,256,32,1536,7168,asm,15,8,8.8914,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,79.25,1275.13,0.0089
gfx950,256,64,1536,7168,asm,15,8,9.5956,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,146.87,1215.7,0.0072
gfx950,256,128,1536,7168,asm,23,8,10.3811,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,271.51,1186.85,0.0094
gfx950,256,256,1536,7168,asm,20,5,13.4798,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,418.19,1011.25,0.0018
gfx950,256,512,1536,7168,asm,26,3,18.7023,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,602.83,869.03,0.0004
gfx950,256,1024,1536,7168,asm,16,1,30.4337,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,740.91,706.32,0.0
gfx950,256,1536,1536,7168,asm,24,1,33.7784,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,1001.32,791.59,0.0
gfx950,256,2048,1536,7168,ck,14,0,45.9207,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,982.07,696.45,0.0001
gfx950,256,4096,1536,7168,ck,14,3,69.9692,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1289.06,756.81,0.0001
gfx950,256,8192,1536,7168,ck,13,1,115.7144,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1558.91,820.09,0.0
